location_name,Location_Category_Description,LATITUDE,LONGITUDE
P.S. 254 Dag Hammarskjold,Elementary,40.591103,-73.95155
P.S. 255 Barbara Reing School,Elementary,40.604461,-73.955891
P.S. 256 Benjamin Banneker,Elementary,40.690595,-73.94961
P.S. 257 John F. Hylan,Elementary,40.702759,-73.941345
J.H.S. 258 David Ruggles,Junior High-Intermediate-Middle,40.6816,-73.9454
J.H.S. 259 William McKinley,Junior High-Intermediate-Middle,40.626089,-74.014633
P.S. 260 Breuckelen,Elementary,40.653368,-73.893294
P.S. 261 Philip Livingston,Elementary,40.687218,-73.988667
P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,Elementary,40.682949,-73.930132
P.S. 264 Bay Ridge Elementary School For The Arts,Elementary,40.621025,-74.029444
Dr. Susan S. McKinney Secondary School of the Arts,Secondary School,40.697177,-73.976104
M.S. K266 - Park Place Community Middle School,Junior High-Intermediate-Middle,40.678809,-73.976648
"M.S. 267 Math, Science & Technology",Junior High-Intermediate-Middle,40.68797,-73.932066
P.S. 268 Emma Lazarus,Elementary,40.657421,-73.92756
P.S. 269 Nostrand,Elementary,40.637625,-73.947672
P.S. 270 Johann DeKalb,Elementary,40.691275,-73.961134
I.S. 271 John M. Coleman,Junior High-Intermediate-Middle,40.6827,-73.9171
P.S. 272 Curtis Estabrook,Elementary,40.635542,-73.886373
P.S. 273 Wortman,Elementary,40.6585,-73.879276
P.S. 274 Kosciusko,Elementary,40.694179,-73.92818
IS 275 Thelma J. Hamilton,Junior High-Intermediate-Middle,40.6566,-73.9074
P.S. 276 Louis Marshall,Elementary,40.634005,-73.908436
P.S. 277 Gerritsen Beach,Elementary,40.595798,-73.92785
J.H.S. 278 Marine Park,Junior High-Intermediate-Middle,40.606745,-73.938721
P.S. 279 Herman Schreiber,Elementary,40.644134,-73.892797
IS 280 Brooklyn Studio School,Junior High-Intermediate-Middle,40.6049,-73.9944
I.S. 281 Joseph B Cavallaro,Junior High-Intermediate-Middle,40.594648,-73.993565
P.S. 282 Park Slope,K-8,40.676649,-73.977983
"The Gregory Jocko Jackson School of Sports, Art, a",K-8,40.666942,-73.907634
I.S. 285 Meyer Levin,Junior High-Intermediate-Middle,40.647818,-73.920784
I.S. 285 Meyer Levin,Junior High-Intermediate-Middle,40.647818,-73.920784
P.S. 287 Bailey K. Ashford,Elementary,40.697856,-73.98112
P.S. 288 The Shirley Tanyhill,K-8,40.574029,-73.992393
P.S. 289 George V. Brower,Elementary,40.674244,-73.942401
P.S. 290 Juan Morel Campos,Elementary,40.678182,-73.889375
J.H.S. 291 Roland Hayes,Junior High-Intermediate-Middle,40.695875,-73.915217
J.H.S. 292 Margaret S. Douglas,Junior High-Intermediate-Middle,40.671601,-73.893319
J.H.S. 292 Margaret S. Douglas,Junior High-Intermediate-Middle,40.671601,-73.893319
P.S. 295,Elementary,40.660805,-73.988743
I.S. 296 - The Anna Gonzalez Community School,Junior High-Intermediate-Middle,40.688647,-73.910589
P.S. 297 Abraham Stockton,Elementary,40.697377,-73.948166
P.S. 298 Dr. Betty Shabazz,Elementary,40.671015,-73.907718
P.S. 299 Thomas Warren Field,Elementary,40.690755,-73.917899
Satellite East Middle School,Junior High-Intermediate-Middle,40.679079,-73.946381
J.H.S. 302 Rafael Cordero,Junior High-Intermediate-Middle,40.677112,-73.884211
I.S. 303 Herbert S. Eisenberg,Junior High-Intermediate-Middle,40.582518,-73.972009
I.S. 303 Herbert S. Eisenberg,Junior High-Intermediate-Middle,40.582518,-73.972009
P.S. 304 Casimir Pulaski,Elementary,40.6941,-73.9408
P.S. 305 Dr. Peter Ray,Elementary,40.685653,-73.94573
P.S. 306 Ethan Allen,Elementary,40.65534,-73.88662
P.S. 307 Daniel Hale Williams,Elementary,40.701789,-73.981599
P.S. 308 Clara Cardwell,K-8,40.688323,-73.935509
P.S. 309 The George E. Wibecan Preparatory Academy,Elementary,40.6881,-73.924422
The School For Future Leaders,Elementary,40.632143,-74.007533
Essence School,Junior High-Intermediate-Middle,40.662243,-73.894877
P.S. 312 Bergen Beach,Elementary,40.622442,-73.909554
Dock Street School for STEAM Studies,Junior High-Intermediate-Middle,40.702952,-73.992076
P.S. K315,Elementary,40.632619,-73.954269
P.S. K315,Elementary,40.632619,-73.954269
P.S. 316 Elijah Stroud,Elementary,40.674685,-73.961418
The Greenpoint Community Middle School At The John,Junior High-Intermediate-Middle,40.719818,-73.947932
I.S. 318 Eugenio Maria De Hostos,Junior High-Intermediate-Middle,40.703034,-73.948771
P.S. 319,Early Childhood,40.709632,-73.953881
P.S. 321 William Penn,Elementary,40.671816,-73.978633
Foundations Academy,High school,40.696698,-73.947557
P.S./I.S. 323,K-8,40.666187,-73.911279
The Fresh Creek School,Elementary,40.653368,-73.893294
P.S. 326,Early Childhood,40.628417,-73.92825
P.S. 327 Dr. Rose B. English,K-8,40.668232,-73.911788
P.S. 328 Phyllis Wheatley,Elementary,40.667985,-73.898249
P.S. 329 Surfside,Elementary,40.574666,-73.99577
The School for the Urban Environment,Junior High-Intermediate-Middle,40.696698,-73.947557
Explore Exceed Charter School,K-8,40.6771,-73.960093
Middle School for Academic and Social Excellence,Junior High-Intermediate-Middle,40.67229,-73.937601
P.S. 335 Granville T. Woods,Elementary,40.674491,-73.928673
Academy of Business and Community Development,Secondary School,40.68192,-73.9456
International High School at Lafayette,High school,40.593028,-73.986313
School Of Integrated Academics And Performing Arts,Junior High-Intermediate-Middle,40.659934,-73.885704
I.S. 340,Junior High-Intermediate-Middle,40.676357,-73.970315
Rachel Carson High School for Coastal Studies,High school,40.582518,-73.972009
Rachel Carson High School for Coastal Studies,High school,40.582518,-73.972009
P.S. 345 Patrolman Robert Bolden,Elementary,40.676207,-73.879886
P.S. 346 Abe Stark,Elementary,40.64664,-73.881997
I.S. 347 School of Humanities,Junior High-Intermediate-Middle,40.70081,-73.927938
High School of Sports Management,High school,40.593028,-73.986313
"I.S. 349 Math, Science & Tech.",Junior High-Intermediate-Middle,40.70081,-73.927938
Urban Assembly School of Music and Art,High school,40.69733,-73.984528
The Urban Assembly Unison School,Junior High-Intermediate-Middle,40.684286,-73.960536
Ebbets Field Middle School,Junior High-Intermediate-Middle,40.665199,-73.959484
Elijah Stroud Middle School,Junior High-Intermediate-Middle,40.674685,-73.961418
The School of Integrated Learning,Junior High-Intermediate-Middle,40.67229,-73.937601
Williamsburg Collegiate Charter School,Junior High-Intermediate-Middle,40.706069,-73.962049
Achievement First Crown Heights Charter School,K-12 all grades,40.662092,-73.936313
KIPP AMP Charter School,K-12 all grades,40.67229,-73.937601
Achievement First East New York Charter School,K-12 all grades,40.664067,-73.893328
The Uft Charter School,High school,40.659934,-73.885704
Launch Expeditionary Learning Charter School,Junior High-Intermediate-Middle,40.675675,-73.935093
P.S. 361 East Flatbush Early Childhood School,Elementary,40.637625,-73.947672
Hellenic Classical Charter School,K-8,40.662985,-73.992254
Brownsville Collaborative Middle School,Junior High-Intermediate-Middle,40.671015,-73.907718
I.S. 364 Gateway,Junior High-Intermediate-Middle,40.646211,-73.881115
District 23 HS#1,High school,40.677528,-73.904143
The Science And Medicine Middle School,Junior High-Intermediate-Middle,40.647396,-73.891743
Success Academy Charter School - Bed-Stuy 1,K-8,40.696698,-73.947557
P.S. 368,K-12 all grades,40.696698,-73.947557
P.S. K369 - Coy L. Cox School,K-12 all grades,40.687432,-73.983312
P.S. 370,K-12 all grades,40.577709,-73.969872
P.S. 371 - Lillian L. Rashkis,High school,40.654306,-74.005168
P.S. 372 -The Children's School,K-8,40.676198,-73.9855
P.S. 373 - Brooklyn Transition Center,High school,40.699214,-73.945211
P.S. 375 Jackie Robinson School,Elementary,40.665199,-73.959484
P.S. 376,Elementary,40.69805,-73.920187
P.S. 377 Alejandrina B. De Gautier,K-8,40.693542,-73.915159
MS 378 Carroll Gardens C.S,Junior High-Intermediate-Middle,40.6801,-74.0014
Explore Excel Charter School,K-8,40.642684,-73.90788
P.S. 380 John Wayne Elementary,Elementary,40.70179,-73.953702
I. S. 381,Junior High-Intermediate-Middle,40.623788,-73.946836
Academy for College Preparation and Career Explora,Secondary School,40.649602,-73.957173
J.H.S. 383 Philippa Schuyler,Junior High-Intermediate-Middle,40.697898,-73.919088
